addr_state,issue_d,gdp,gdp_LSFT
AK,10/15/07,74364.50757,606.2447148
AK,11/15/07,74897.89737,608.9843999
AK,12/15/07,75705.47843,606.9602873
AK,01/15/08,76513.05948,605.0319805
AK,02/15/08,77320.64054,601.0543968
AK,03/15/08,78990.16667,621.2982247
AK,04/15/08,80659.69279,683.2043543
AK,05/15/08,82329.21892,783.3663034
AK,06/15/08,83062.59533,887.5155104
AK,07/15/08,83795.97174,969.0779588
AK,08/15/08,84529.34815,1025.746387
AK,09/15/08,82394.28685,960.6496518
AK,10/15/08,80259.22555,795.7001801
AK,11/15/08,78124.16425,545.5597905
AK,12/15/08,76781.70577,251.020066
AK,01/15/09,75439.2473,-67.06631676
AK,02/15/09,74096.78882,-396.8859545
AK,03/15/09,73327.85331,-707.718092
AK,04/15/09,72558.9178,-957.7488171
AK,05/15/09,71789.98229,-1133.579989
AK,06/15/09,71365.72416,-1210.450476
AK,07/15/09,70941.46602,-1212.861729
AK,08/15/09,70517.20789,-1134.453116
AK,09/15/09,71189.19141,-932.7241743
AK,10/15/09,71861.17494,-717.6621075
AK,11/15/09,72533.15846,-504.6902388
AK,12/15/09,72973.5461,-316.8669205
AK,01/15/10,73413.93373,-137.8582474
AK,02/15/10,73854.32137,22.53992341
AK,03/15/10,74364.52174,156.8332524
AK,04/15/10,74874.72212,276.9008715
AK,05/15/10,75384.92249,375.7145611
AK,06/15/10,75827.79489,444.0264987
AK,07/15/10,76270.6673,488.4352218
AK,08/15/10,76713.5397,504.1762761
AK,09/15/10,77197.34281,487.8345725
AK,10/15/10,77681.14593,476.5839043
AK,11/15/10,78164.94904,471.4582298
AK,12/15/10,77975.26489,451.2886303
AK,01/15/11,77785.58074,411.9020096
AK,02/15/11,77595.89659,356.7603002
AK,03/15/11,79238.31043,349.7242703
AK,04/15/11,80880.72428,386.8744857
AK,05/15/11,82523.13812,461.9899931
AK,06/15/11,82555.98954,515.7873418
AK,07/15/11,82588.84095,548.2997905
AK,08/15/11,82621.69237,561.7802026
AK,09/15/11,83617.07855,590.2133554
AK,10/15/11,84612.46473,632.137717
AK,11/15/11,85607.85091,684.7423918
AK,12/15/11,85234.57603,700.0957891
AK,01/15/12,84861.30115,657.0037726
AK,02/15/12,84488.02627,556.4750826
AK,03/15/12,84733.80711,419.9268896
AK,04/15/12,84979.58794,315.4318358
AK,05/15/12,85225.36878,250.6637297
AK,06/15/12,84927.28392,215.3667402
AK,07/15/12,84629.19906,158.2967011
AK,08/15/12,84331.1142,81.2719433
AK,09/15/12,83955.57927,-16.44250071
AK,10/15/12,83580.04435,-95.58218187
AK,11/15/12,83204.50942,-148.614567
AK,12/15/12,82993.83102,-162.5722918
AK,01/15/13,82783.15263,-183.4694376
AK,02/15/13,82572.47423,-212.1993919
AK,03/15/13,82037.71322,-260.3395842
AK,04/15/13,81502.95222,-303.1928922
AK,05/15/13,80968.19121,-336.4706253
AK,06/15/13,81287.78458,-327.7185626
AK,07/15/13,81607.37794,-298.2601793
AK,08/15/13,81926.97131,-251.4893116
AK,09/15/13,81232.22766,-224.2394777
AK,10/15/13,80537.48402,-217.3100824
AK,11/15/13,79842.74037,-228.9472315
AK,12/15/13,79933.89303,-231.4883618
AK,01/15/14,80025.04568,-221.1570553
AK,02/15/14,80116.19834,-199.6117237
AK,03/15/14,80138.16516,-170.7916316
AK,04/15/14,80160.13197,-148.4397656
AK,05/15/14,80182.09879,-135.615069
AK,06/15/14,79587.49938,-155.7028454
AK,07/15/14,78992.89998,-175.5145283
AK,08/15/14,78398.30057,-190.0270812
AK,09/15/14,77748.3024,-196.0437993
AK,10/15/14,77098.30423,-227.2502188
AK,11/15/14,76448.30606,-283.8921936
AK,12/15/14,75003.53357,-392.4169296
AK,01/15/15,73558.76108,-518.476608
AK,02/15/15,72113.98859,-653.6320801
AK,03/15/15,72548.26762,-727.4974428
AK,04/15/15,72982.54665,-744.6189998
AK,05/15/15,73416.82568,-707.2622032
AK,06/15/15,72518.12611,-661.6368538
AK,07/15/15,71619.42654,-626.3984309
AK,08/15/15,70720.72697,-599.876054
AK,09/15/15,70398.07038,-561.4084155
AK,10/15/15,70075.41378,-514.6204287
AK,11/15/15,69752.75719,-461.3106732
AK,12/15/15,69430.1006,-403.2777293
AK,01/15/16,69107.444,-372.8884203
AK,02/15/16,68784.78741,-376.308218
AK,03/15/16,68462.13082,-419.7025942
AK,04/15/16,68139.47422,-436.965809
AZ,05/15/06,40646.87,
AZ,06/15/06,40907.5924,
AZ,07/15/06,41168.3186,
AZ,08/15/06,41429.04,
AZ,09/15/06,41651.70787,
AZ,10/15/06,41874.37095,
AZ,11/15/06,42097.03,
AZ,12/15/06,42101.80915,
AZ,01/15/07,42106.58428,
AZ,02/15/07,42111.3594,
AZ,03/15/07,42260.25405,
AZ,04/15/07,42409.1487,
AZ,05/15/07,42558.04335,145.7512142
AZ,06/15/07,42700.29662,131.5078593
AZ,07/15/07,42842.54988,120.6995182
AZ,08/15/07,42984.80315,113.9771413
AZ,09/15/07,42789.63783,100.867989
AZ,10/15/07,42594.47251,82.41299394
AZ,11/15/07,42399.30719,60.90791641
AZ,12/15/07,42339.11804,43.09828075
AZ,01/15/08,42278.92888,22.15791374
AZ,02/15/08,42218.73973,-1.556237692
AZ,03/15/08,42044.9357,-31.43277247
AZ,04/15/08,41871.13168,-60.94742742
AZ,05/15/08,41697.32765,-88.32713324
AZ,06/15/08,41530.47604,-111.5696196
AZ,07/15/08,41363.62443,-129.1954547
AZ,08/15/08,41196.77282,-139.5062603
AZ,09/15/08,40800.36762,-148.3713586
AZ,10/15/08,40403.96242,-165.8087255
AZ,11/15/08,40007.55722,-190.7126476
AZ,12/15/08,39670.50891,-220.0205907
AZ,01/15/09,39333.46059,-247.7615869
AZ,02/15/09,38996.41228,-272.4144323
AZ,03/15/09,38707.44089,-290.8729687
AZ,04/15/09,38418.4695,-306.2499542
AZ,05/15/09,38129.49811,-317.9126005
AZ,06/15/09,38036.48417,-318.7679846
AZ,07/15/09,37943.47022,-308.9926077
AZ,08/15/09,37850.45628,-288.9921708
AZ,09/15/09,38003.20447,-251.0703273
AZ,10/15/09,38155.95266,-205.8121041
AZ,11/15/09,38308.70085,-156.2348276
AZ,12/15/09,38213.58191,-113.527268
AZ,01/15/10,38118.46297,-77.06188692
AZ,02/15/10,38023.34403,-48.16796709
AZ,03/15/10,38179.95738,-19.87592368
AZ,04/15/10,38336.57074,6.950929231
AZ,05/15/10,38493.18409,29.86432346
AZ,06/15/10,38590.48322,44.46057736
AZ,07/15/10,38687.78236,56.15415077
AZ,08/15/10,38785.08149,63.8993667
AZ,09/15/10,38860.75345,65.93756566
AZ,10/15/10,38936.42542,70.79429198
AZ,11/15/10,39012.09738,78.89304104
AZ,12/15/10,38971.75412,86.83263104
AZ,01/15/11,38931.41086,86.14065286
AZ,02/15/11,38891.0676,76.51614121
AZ,03/15/11,38960.37107,61.27285819
AZ,04/15/11,39029.67455,49.18939544
AZ,05/15/11,39098.97802,40.74547758
AZ,06/15/11,39217.59376,38.04650813
AZ,07/15/11,39336.20951,39.01994934
AZ,08/15/11,39454.82525,43.54867698
AZ,09/15/11,39784.44516,58.47174791
AZ,10/15/11,40114.06508,81.68086044
AZ,11/15/11,40443.68499,111.7806962
AZ,12/15/11,40448.54134,136.6694453
AZ,01/15/12,40453.39768,152.2740805
AZ,02/15/12,40458.25403,158.3462527
AZ,03/15/12,40605.4605,159.3304734
AZ,04/15/12,40752.66698,158.4134318
AZ,05/15/12,40899.87345,155.1670895
AZ,06/15/12,40781.59452,140.4111417
AZ,07/15/12,40663.3156,117.0728871
AZ,08/15/12,40545.03667,86.45394484
AZ,09/15/12,40523.20466,53.03550231
AZ,10/15/12,40501.37265,25.70479549
AZ,11/15/12,40479.54064,6.392879286
AZ,12/15/12,40481.35468,-2.189652033
AZ,01/15/13,40483.16872,-10.73257346
AZ,02/15/13,40484.98276,-19.2191694
AZ,03/15/13,40547.91669,-25.61778209
AZ,04/15/13,40610.85062,-24.77251451
AZ,05/15/13,40673.78455,-16.22033033
AZ,06/15/13,40735.51613,0.462168132
AZ,07/15/13,40797.2477,15.53364588
AZ,08/15/13,40858.97928,28.00503495
AZ,09/15/13,41020.29058,40.17011418
AZ,10/15/13,41181.60187,54.20217011
AZ,11/15/13,41342.91317,69.09492121
AZ,12/15/13,41359.62821,79.07517588
AZ,01/15/14,41376.34324,84.84060027
AZ,02/15/14,41393.05828,86.30932115
AZ,03/15/14,41491.25753,86.08575753
AZ,04/15/14,41589.45679,85.99108566
AZ,05/15/14,41687.65604,85.83153967
AZ,06/15/14,41840.19245,87.20468901
AZ,07/15/14,41992.72886,89.57196813
AZ,08/15/14,42145.26527,92.43444901
AZ,09/15/14,42121.39668,89.47765489
AZ,10/15/14,42097.52808,85.00190527
AZ,11/15/14,42073.65949,80.02467209
AZ,12/15/14,42103.50095,77.33408857
AZ,01/15/15,42133.34241,72.09112187
AZ,02/15/15,42163.18387,64.22364841
AZ,03/15/15,42303.90327,57.31486203
AZ,04/15/15,42444.62266,53.81742786
AZ,05/15/15,42585.34206,53.49771945
AZ,06/15/15,42589.02468,51.60441324
AZ,07/15/15,42592.70729,50.74672181
AZ,08/15/15,42596.38991,51.74252352
AZ,09/15/15,42678.83901,58.00639346
AZ,10/15/15,42761.28812,63.1386194
AZ,11/15/15,42843.73722,66.55503742
AZ,12/15/15,42926.18632,67.67148473
AZ,01/15/16,43008.63543,67.96956967
AZ,02/15/16,43091.08453,67.1602389
AZ,03/15/16,43173.53363,64.95443945
AZ,04/15/16,43255.98274,65.32765484
AR,05/15/06,34078.89,
AR,06/15/06,34085.84877,
AR,07/15/06,34092.80679,
AR,08/15/06,34099.76,
AR,09/15/06,34074.31294,
AR,10/15/06,34048.86107,
AR,11/15/06,34023.41,
AR,12/15/06,33948.93515,
AR,01/15/07,33874.4611,
AR,02/15/07,33799.98704,
AR,03/15/07,33998.4482,
AR,04/15/07,34196.90935,
AR,05/15/07,34395.37051,3.724088773
AR,06/15/07,34471.49033,18.35689982
AR,07/15/07,34547.61014,33.60963055
AR,08/15/07,34623.72996,49.10227143
AR,09/15/07,35242.4728,82.34348352
AR,10/15/07,35861.21563,128.7252777
AR,11/15/07,36479.95847,184.7081229
AR,12/15/07,36008.00143,210.7953491
AR,01/15/08,35536.04439,207.5548123
AR,02/15/08,35064.08735,177.170485
AR,03/15/08,35332.24836,146.2258358
AR,04/15/08,35600.40936,123.3357624
AR,05/15/08,35868.57037,108.1172986
AR,06/15/08,35885.70694,91.91194753
AR,07/15/08,35902.84352,71.01056236
AR,08/15/08,35919.98009,45.7372261
AR,09/15/08,35694.49571,8.41753
AR,10/15/08,35469.01134,-18.42124352
AR,11/15/08,35243.52696,-30.14048412
AR,12/15/08,35290.68136,-13.11348874
AR,01/15/09,35337.83575,-6.149657253
AR,02/15/09,35384.99015,-12.10124995
AR,03/15/09,34926.32904,-50.49576407
AR,04/15/09,34467.66793,-92.94017533
AR,05/15/09,34009.00682,-135.440956
AR,06/15/09,34075.90723,-156.6783736
AR,07/15/09,34142.80763,-165.2013873
AR,08/15/09,34209.70804,-161.2834238
AR,09/15/09,34338.42525,-143.1599948
AR,10/15/09,34467.14245,-120.775756
AR,11/15/09,34595.85966,-96.07686923
AR,12/15/09,34629.48757,-74.14430951
AR,01/15/10,34663.11547,-45.91566412
AR,02/15/10,34696.74338,-11.3166117
AR,03/15/10,35107.39375,42.15648132
AR,04/15/10,35518.04412,93.05194165
AR,05/15/10,35928.69449,136.5933326
AR,06/15/10,36113.37933,160.5548043
AR,07/15/10,36298.06417,181.6153937
AR,08/15/10,36482.74901,199.127933
AR,09/15/10,36511.30391,207.2981146
AR,10/15/10,36539.85881,208.7141973
AR,11/15/10,36568.41371,203.9265231
AR,12/15/10,36597.5721,193.5053299
AR,01/15/11,36626.73048,174.3403631
AR,02/15/11,36655.88887,146.4561806
AR,03/15/11,36821.52832,114.376716
AR,04/15/11,36987.16776,91.87749484
AR,05/15/11,37152.80721,80.30473121
AR,06/15/11,37247.21256,78.65626209
AR,07/15/11,37341.6179,79.97871522
AR,08/15/11,37436.02325,84.76813214
AR,09/15/11,37517.39012,93.09071401
AR,10/15/11,37598.757,99.50914462
AR,11/15/11,37680.12387,103.7332479
AR,12/15/11,37695.58441,103.3001121
AR,01/15/12,37711.04496,98.30489566
AR,02/15/12,37726.5055,88.82286077
AR,03/15/12,37820.29731,77.51162022
AR,04/15/12,37914.08911,69.26531654
AR,05/15/12,38007.88092,64.47871698
AR,06/15/12,37970.75578,59.23064571
AR,07/15/12,37933.63065,51.89542115
AR,08/15/12,37896.50551,43.19573753
AR,09/15/12,37816.39389,32.43715346
AR,10/15/12,37736.28228,20.07707374
AR,11/15/12,37656.17066,7.002742802
AR,12/15/12,38092.44972,11.12527335
AR,01/15/13,38528.72878,27.95973956
AR,02/15/13,38965.00784,55.19395214
AR,03/15/13,39034.9748,78.43949802
AR,04/15/13,39104.94177,100.4096329
AR,05/15/13,39174.90873,121.2352616
AR,06/15/13,39336.11966,144.0553335
AR,07/15/13,39497.33058,163.4641459
AR,08/15/13,39658.54151,178.3719412
AR,09/15/13,39744.26149,185.2002477
AR,10/15/13,39829.98146,181.6207657
AR,11/15/13,39915.70144,166.7223334
AR,12/15/13,39966.44297,138.4406521
AR,01/15/14,40017.18451,115.9179287
AR,02/15/14,40067.92604,101.272501
AR,03/15/14,40309.46933,102.912875
AR,04/15/14,40551.01263,107.8201008
AR,05/15/14,40792.55592,115.0514513
AR,06/15/14,40873.84439,118.3810731
AR,07/15/14,40955.13286,121.2561437
AR,08/15/14,41036.42133,124.1157971
AR,09/15/14,41130.70461,127.8275682
AR,10/15/14,41224.98789,129.8556935
AR,11/15/14,41319.27117,130.1531213
AR,12/15/14,41090.90163,118.0358947
AR,01/15/15,40862.53208,93.88445511
AR,02/15/15,40634.16254,59.23238049
AR,03/15/15,40840.80392,29.9542672
AR,04/15/15,41047.4453,12.53205187
AR,05/15/15,41254.08668,7.157503626
AR,06/15/15,41413.66143,12.47074374
AR,07/15/15,41573.23619,22.7585022
AR,08/15/15,41732.81094,37.59063423
AR,09/15/15,41765.6842,52.36002324
AR,10/15/15,41798.55747,67.83248758
AR,11/15/15,41831.43073,84.34544456
AR,12/15/15,41864.30399,102.2363119
AR,01/15/16,41897.17726,109.4327837
AR,02/15/16,41930.05052,104.4994592
AR,03/15/16,41962.92378,86.00093885
AR,04/15/16,41995.79705,69.23301209
CA,05/15/06,51548.51,
CA,06/15/06,51716.55209,
CA,07/15/06,51884.59083,
CA,08/15/06,52052.63,
CA,09/15/06,52218.56701,
CA,10/15/06,52384.50446,
CA,11/15/06,52550.44,
CA,12/15/06,52642.87823,
CA,01/15/07,52735.31455,
CA,02/15/07,52827.75088,
CA,03/15/07,53049.3197,
CA,04/15/07,53270.88853,
CA,05/15/07,53492.45735,152.2609586
CA,06/15/07,53700.59292,155.935368
CA,07/15/07,53908.7285,161.1098054
CA,08/15/07,54116.86407,167.5639582
CA,09/15/07,54393.03011,177.3202768
CA,10/15/07,54669.19615,189.703836
CA,11/15/07,54945.36219,204.1089843
CA,12/15/07,54717.04722,203.2988279
CA,01/15/08,54488.73224,186.6126226
CA,02/15/08,54260.41727,155.8127384
CA,03/15/08,54544.98628,129.5698082
CA,04/15/08,54829.55528,111.794792
CA,05/15/08,55114.12429,102.1415357
CA,06/15/08,55137.98398,91.66907115
CA,07/15/08,55161.84366,80.94704863
CA,08/15/08,55185.70335,70.98797368
CA,09/15/08,54555.08011,41.22799049
CA,10/15/08,53924.45688,-1.107779176
CA,11/15/08,53293.83364,-51.03697703
CA,12/15/08,53117.74157,-88.59270033
CA,01/15/09,52941.64951,-130.6931298
CA,02/15/09,52765.55744,-177.6252053
CA,03/15/09,52410.05447,-235.5905105
CA,04/15/09,52054.55151,-284.1639031
CA,05/15/09,51699.04854,-319.8285047
CA,06/15/09,51528.97435,-332.9543993
CA,07/15/09,51358.90015,-331.0708292
CA,08/15/09,51188.82596,-313.1122237
CA,09/15/09,51272.64799,-269.6428066
CA,10/15/09,51356.47002,-226.1644618
CA,11/15/09,51440.29205,-186.6027121
CA,12/15/09,51501.22489,-155.6376703
CA,01/15/10,51562.15772,-119.5871271
CA,02/15/10,51623.09056,-79.75341648
CA,03/15/10,51787.9834,-34.01162071
CA,04/15/10,51952.87625,8.864297857
CA,05/15/10,52117.76909,46.01502159
CA,06/15/10,52255.06184,73.67133945
CA,07/15/10,52392.35459,96.25745879
CA,08/15/10,52529.64734,112.0845499
CA,09/15/10,52957.17027,129.0318116
CA,10/15/10,53384.69319,153.5809823
CA,11/15/10,53812.21612,183.8435958
CA,12/15/10,53709.43931,200.4487765
CA,01/15/11,53606.6625,203.5414395
CA,02/15/11,53503.88569,194.0210879
CA,03/15/11,53626.00705,180.2014509
CA,04/15/11,53748.1284,165.7447891
CA,05/15/11,53870.24976,150.8861115
CA,06/15/11,53919.87926,133.4705842
CA,07/15/11,53969.50877,113.0699808
CA,08/15/11,54019.13827,90.16596709
CA,09/15/11,54054.30123,64.76329033
CA,10/15/11,54089.46418,48.58580214
CA,11/15/11,54124.62714,43.78932654
CA,12/15/11,54402.00662,60.51484786
CA,01/15/12,54679.38611,79.19118659
CA,02/15/12,54956.76559,97.72957154
CA,03/15/12,55104.94067,109.7817462
CA,04/15/12,55253.11576,122.6187838
CA,05/15/12,55401.29084,136.0975315
CA,06/15/12,55525.39279,149.2812176
CA,07/15/12,55649.49474,159.3708112
CA,08/15/12,55773.59669,165.9571234
CA,09/15/12,56120.31773,175.9700554
CA,10/15/12,56467.03877,187.2208309
CA,11/15/12,56813.75981,197.9975919
CA,12/15/12,56659.74996,190.0808692
CA,01/15/13,56505.74012,173.8260944
CA,02/15/13,56351.73027,151.6035384
CA,03/15/13,56558.1721,137.6664944
