addr_state,issue_d,unemp,unemp_LSFT
AK,11/15/07,0.063,-0.00110989
AK,12/15/07,0.065,-0.001038462
AK,01/15/08,0.074,-0.000598901
AK,02/15/08,0.076,0.000131868
AK,03/15/08,0.073,0.000747253
AK,04/15/08,0.069,0.001153846
AK,05/15/08,0.066,0.001241758
AK,06/15/08,0.067,0.001241758
AK,07/15/08,0.06,0.00106044
AK,08/15/08,0.058,0.000527473
AK,09/15/08,0.059,-6.04E-05
AK,10/15/08,0.063,-0.000467033
AK,11/15/08,0.068,-0.00067033
AK,12/15/08,0.07,-0.00067033
AK,01/15/09,0.08,-0.000302198
AK,02/15/09,0.083,0.000428571
AK,03/15/09,0.083,0.001186813
AK,04/15/09,0.079,0.001659341
AK,05/15/09,0.077,0.001879121
AK,06/15/09,0.079,0.002005495
AK,07/15/09,0.071,0.001835165
AK,08/15/09,0.069,0.001307692
AK,09/15/09,0.072,0.000752747
AK,10/15/09,0.076,0.000291209
AK,11/15/09,0.08,2.20E-05
AK,12/15/09,0.08,-0.000148352
AK,01/15/10,0.089,-1.10E-05
AK,02/15/10,0.091,0.000472527
AK,03/15/10,0.089,0.000945055
AK,04/15/10,0.083,0.001186813
AK,05/15/10,0.078,0.00110989
AK,06/15/10,0.078,0.000961538
AK,07/15/10,0.07,0.000620879
AK,08/15/10,0.068,-4.40E-05
AK,09/15/10,0.07,-0.000703297
AK,10/15/10,0.073,-0.001153846
AK,11/15/10,0.077,-0.001324176
AK,12/15/10,0.08,-0.001247253
AK,01/15/11,0.087,-0.00093956
AK,02/15/11,0.088,-0.000291209
AK,03/15/11,0.084,0.000307692
AK,04/15/11,0.079,0.000703297
AK,05/15/11,0.074,0.000758242
AK,06/15/11,0.076,0.000736264
AK,07/15/11,0.068,0.000461538
AK,08/15/11,0.066,-0.000131868
AK,09/15/11,0.067,-0.000747253
AK,10/15/11,0.07,-0.001181319
AK,11/15/11,0.074,-0.001368132
AK,12/15/11,0.078,-0.001274725
AK,01/15/12,0.083,-0.000906593
AK,02/15/12,0.083,-0.000285714
AK,03/15/12,0.08,0.000296703
AK,04/15/12,0.075,0.000604396
AK,05/15/12,0.071,0.000637363
AK,06/15/12,0.072,0.000554945
AK,07/15/12,0.064,0.000296703
AK,08/15/12,0.061,-0.000302198
AK,09/15/12,0.062,-0.000906593
AK,10/15/12,0.064,-0.001384615
AK,11/15/12,0.068,-0.001598901
AK,12/15/12,0.072,-0.001516484
AK,01/15/13,0.079,-0.001038462
AK,02/15/13,0.079,-0.000373626
AK,03/15/13,0.075,0.000181319
AK,04/15/13,0.071,0.000532967
AK,05/15/13,0.068,0.000642857
AK,06/15/13,0.071,0.000736264
AK,07/15/13,0.062,0.000571429
AK,08/15/13,0.06,8.79E-05
AK,09/15/13,0.062,-0.000423077
AK,10/15/13,0.066,-0.000769231
AK,11/15/13,0.069,-0.000961538
AK,12/15/13,0.07,-0.000994505
AK,01/15/14,0.078,-0.000620879
AK,02/15/14,0.08,5.49E-05
AK,03/15/14,0.076,0.000593407
AK,04/15/14,0.072,0.000862637
AK,05/15/14,0.068,0.000862637
AK,06/15/14,0.071,0.000862637
AK,07/15/14,0.063,0.000697802
AK,08/15/14,0.061,0.000164835
AK,09/15/14,0.062,-0.000406593
